latitude_deg,longitude_deg,acme_rssi_dbm,acme_bandwidth_kbps,acme_jitter_ms,atma_loss_percent,acme_rtt_ms,globex_bandwidth_kbps,globex_jitter_ms,globex_loss_percent,globex_rssi_dbm,globex_rtt_ms,octan_rssi_dbm,octan_bandwidth_kbps,octan_jitter_ms,rssi_loss_percent,octan_rtt_ms
45.45958658333333,-73.82274576666667,-59,,,,65.4,794,123.342,0,-28,63.9,-51,,,,67.3
45.45958658333333,-73.82274576666667,-59,797,84.016,0,58.6,790,69.097,0,-38,59.9,-58,,,,59.5
45.45958658333333,-73.82274576666667,-59,796,84.684,0,50.5,,,,-38,66.3,-52,,,,60.0
45.45958658333333,-73.82274576666667,-59,790,78.870,0,87.3,793,115.624,0,-38,63.8,-52,792,78.878,0,75.5
45.45958658333333,-73.82274576666667,-59,,,,68.7,792,116.022,0,-38,64.4,-52,791,61.238,0,61.1
45.45958658333333,-73.82274576666667,-59,796,84.492,0,63.4,,,,-38,67.7,-52,794,79.252,0,61.6
45.45958658333333,-73.82274576666667,-59,790,78.941,0,86.0,795,123.242,0,-38,66.6,-52,792,79.270,0,56.3
45.45958658333333,-73.82274576666667,-59,797,74.405,0,62.2,,,,-38,60.7,-59,793,61.314,0,58.4
45.45958658333333,-73.82274576666667,-59,,,,76.5,792,123.377,0,-38,62.3,-59,,,,69.8
45.45958658333333,-73.82274576666667,-59,791,109.178,0,58.4,,,,-38,67.0,-59,794,84.042,0,59.5
45.45958658333333,-73.82274576666667,-52,,,,68.7,794,123.143,0,-38,75.4,-59,,,,55.1
45.45958658333333,-73.82274576666667,-52,794,84.263,0,73.3,794,123.655,0,-29,67.7,-59,796,95.667,0,64.4
45.45958658333333,-73.82274576666667,-60,793,78.857,0,69.5,,,,-29,69.5,-59,,,,61.8
45.45958658333333,-73.82274576666667,-60,798,84.078,0,53.3,794,60.784,0,-29,61.4,-59,798,89.736,0,69.8
45.45958658333333,-73.82274576666667,-60,,,,50.9,,,,-29,64.2,-59,,,,67.0
45.45958658333333,-73.82274576666667,-60,791,79.749,0,53.2,793,60.882,0,-29,72.6,-59,798,61.298,0,61.4
45.45958658333333,-73.82274576666667,-60,,,,76.0,795,123.541,0,-29,71.6,-59,,,,68.4
45.45958658333333,-73.82274576666667,-60,795,84.519,0,63.2,794,123.194,0,-29,71.0,-59,790,61.304,0,71.5
45.45958658333333,-73.82274576666667,-60,799,123.809,0,61.7,,,,-29,59.3,-59,790,108.905,0,67.0
45.45958658333333,-73.82274576666667,-52,,,,68.0,796,123.249,0,-29,58.7,-59,,,,55.3
45.45958658333333,-73.82274576666667,-52,795,84.306,0,74.0,790,60.915,0,-29,60.5,-59,796,84.593,0,74.4
45.45958658333333,-73.82274576666667,-52,,,,54.9,799,73.672,0,-39,58.2,-59,,,,65.6
45.45958658333333,-73.82274576666667,-52,791,78.830,0,62.0,796,60.827,0,-39,76.4,-59,,,,78.0
45.45958658333333,-73.82274576666667,-59,792,74.345,0,62.2,792,109.604,0,-39,58.9,-59,793,84.100,0,71.5
45.45958658333333,-73.82274576666667,-59,791,84.552,0,62.8,796,60.798,0,-39,68.6,-59,793,84.135,0,75.2
45.45958658333333,-73.82274576666667,-59,795,84.087,0,68.6,792,115.488,0,-39,66.4,-59,792,61.320,0,59.9
45.45958658333333,-73.82274576666667,-59,,,,61.5,,,,-39,57.4,-59,,,,56.0
45.45958658333333,-73.82274576666667,-59,791,78.943,0,74.0,793,123.287,0,-39,63.8,-53,789,78.858,0,84.3
45.45958658333333,-73.82274576666667,-59,798,116.733,0,66.1,798,60.887,0,-39,64.0,-53,,,,84.8
45.45958658333333,-73.82274576666667,-53,,,,49.5,,,,-39,59.5,-53,791,78.887,0,54.3
45.45958658333333,-73.82274576666667,-53,,,,63.5,792,78.657,0,-39,71.2,-53,796,84.227,0,59.9
45.45958658333333,-73.82274576666667,-53,794,84.082,0,68.0,,,,-39,66.7,-53,798,61.300,0,63.4
45.45958658333333,-73.82274576666667,-53,793,84.552,0,60.5,791,115.913,0,-39,59.0,-59,794,84.696,0,70.7
45.45958658333333,-73.82274576666667,-53,791,79.264,0,65.1,,,,-39,60.0,-59,798,89.679,0,59.4
45.45958658333333,-73.82274576666667,-53,793,84.547,0,67.5,797,60.685,0,-39,61.1,-59,789,78.922,0,76.7
45.45958658333333,-73.82274576666667,-53,,,,68.8,792,60.790,0,-39,66.4,-59,,,,61.3
45.45958658333333,-73.82274576666667,-53,797,89.702,0,70.2,,,,-39,59.8,-59,796,61.528,0,69.8
45.45958658333333,-73.82274576666667,-59,,,,52.1,799,131.423,0,-39,61.8,-59,797,61.211,0,58.6
45.45958658333333,-73.82274576666667,-59,794,116.177,0,66.8,798,123.225,0,-39,61.6,-59,797,61.286,0,79.3
45.45958658333333,-73.82274576666667,-59,,,,52.9,,,,-39,60.5,-59,798,84.108,0,76.3
45.45958658333333,-73.82274576666667,-59,791,78.812,0,65.0,792,78.750,0,-33,61.8,-59,,,,60.8
45.45958658333333,-73.82274576666667,-59,793,84.082,0,69.3,792,60.845,0,-33,60.2,-59,792,84.157,0,52.2
45.45958658333333,-73.82274576666667,-59,791,78.815,0,63.1,,,,-33,61.6,-53,793,84.152,0,73.5
45.45958658333333,-73.82274576666667,-59,790,79.284,0,54.8,792,123.201,0,-33,60.4,-53,795,61.720,0,58.1
45.45958658333333,-73.82274576666667,-59,791,79.287,0,75.2,,,,-33,58.8,-53,796,74.365,0,70.7
45.45958658333333,-73.82274576666667,-59,,,,67.3,796,115.730,0,-39,61.4,-53,,,,63.4
45.45958658333333,-73.82274576666667,-59,798,89.750,0,71.2,,,,-39,60.0,-53,,,,68.9
45.45958658333333,-73.82274576666667,-59,,,,64.5,792,60.696,0,-39,65.4,-53,797,116.118,0,53.4
45.45958658333333,-73.82274576666667,-59,,,,69.3,,,,-39,62.1,-53,,,,64.2
45.45958658333333,-73.82274576666667,-59,798,84.972,0,75.4,795,83.924,0,-39,72.0,-53,791,78.871,0,61.9
45.45958658333333,-73.82274576666667,-59,,,,70.7,,,,-39,59.3,-53,,,,62.3
45.45958658333333,-73.82274576666667,-59,794,84.056,0,54.0,793,61.318,0,-39,69.6,-53,799,61.749,0,47.0
45.45958658333333,-73.82274576666667,-53,790,79.305,0,75.4,795,61.253,0,-39,60.1,-53,796,84.107,0,71.0
45.45958658333333,-73.82274576666667,-53,794,84.594,0,69.0,796,123.681,0,-39,67.1,-53,799,89.583,0,75.9
45.45958658333333,-73.82274576666667,-53,,,,49.7,,,,-39,71.9,-53,791,61.338,0,52.9
45.45958658333333,-73.82274576666667,-53,,,,69.0,796,102.065,0,-39,61.5,-53,,,,64.6
45.45958658333333,-73.82274576666667,-53,797,116.812,0,65.2,,,,-29,57.0,-53,797,61.174,0,50.0
45.45958658333333,-73.82274576666667,-53,792,61.681,0,94.0,798,60.705,0,-29,67.4,-53,793,61.641,0,69.4
